YEAR, MONTH, NAIRU
1974 7 6.9910875394
1974 8 7.0140177603
1974 9 7.0365840371
1974 10 7.0587791003
1974 11 7.0805958631
1974 12 7.1020274239
1975 1 7.1230670675
1975 2 7.1437082671
1975 3 7.163944686
1975 4 7.1837701792
1975 5 7.2031787948
1975 6 7.2221647755
1975 7 7.2407225601
1975 8 7.2588467847
1975 9 7.2765322843
1975 10 7.2937740935
1975 11 7.310567448
1975 12 7.3269077856
1976 1 7.3427907474
1976 2 7.3582121782
1976 3 7.3731681282
1976 4 7.3876548529
1976 5 7.4016688149
1976 6 7.4152066835
1976 7 7.4282653361
1976 8 7.4408418588
1976 9 7.4529335461
1976 10 7.4645379024
1976 11 7.4756526415
1976 12 7.4862756873
1977 1 7.4964051742
1977 2 7.506039447
1977 3 7.5151770609
1977 4 7.523816782
1977 5 7.531957587
1977 6 7.5395986631
1977 7 7.5467394078
1977 8 7.553379429
1977 9 7.5595185446
1977 10 7.5651567817
1977 11 7.5702943771
1977 12 7.574931776
1978 1 7.579069632
1978 2 7.5827088062
1978 3 7.5858503667
1978 4 7.5884955878
1978 5 7.5906459493
1978 6 7.5923031356
1978 7 7.5934690347
1978 8 7.5941457374
1978 9 7.5943355361
1978 10 7.5940409238
1978 11 7.5932645927
1978 12 7.5920094334
1979 1 7.5902785332
1979 2 7.5880751748
1979 3 7.5854028351
1979 4 7.5822651833
1979 5 7.5786660799
1979 6 7.5746095745
1979 7 7.5700999044
1979 8 7.5651414929
1979 9 7.5597389474
1979 10 7.5538970573
1979 11 7.5476207927
1979 12 7.5409153014
1980 1 7.5337859079
1980 2 7.5262381103
1980 3 7.5182775789
1980 4 7.5099101533
1980 5 7.5011418405
1980 6 7.4919788121
1980 7 7.4824274024
1980 8 7.4724941054
1980 9 7.4621855721
1980 10 7.4515086086
1980 11 7.4404701724
1980 12 7.4290773703
1981 1 7.4173374554
1981 2 7.4052578241
1981 3 7.392846013
1981 4 7.3801096962
1981 5 7.3670566818
1981 6 7.3536949092
1981 7 7.3400324454
1981 8 7.3260774819
1981 9 7.3118383314
1981 10 7.2973234242
1981 11 7.282541305
1981 12 7.2675006289
1982 1 7.2522101581
1982 2 7.2366787584
1982 3 7.2209153948
1982 4 7.2049291283
1982 5 7.1887291117
1982 6 7.1723245858
1982 7 7.1557248753
1982 8 7.1389393849
1982 9 7.1219775948
1982 10 7.1048490568
1982 11 7.0875633901
1982 12 7.0701302766
1983 1 7.052559457
1983 2 7.0348607258
1983 3 7.0170439271
1983 4 6.9991189501
1983 5 6.9810957242
1983 6 6.9629842145
1983 7 6.9447944166
1983 8 6.9265363523
1983 9 6.9082200645
1983 10 6.889855612
1983 11 6.8714530646
1983 12 6.8530224983
1984 1 6.8345739895
1984 2 6.8161176103
1984 3 6.797663423
1984 4 6.7792214748
1984 5 6.7608017923
1984 6 6.742414376
1984 7 6.7240691947
1984 8 6.7057761802
1984 9 6.6875452213
1984 10 6.6693861579
1984 11 6.6513087758
1984 12 6.6333228
1985 1 6.6154378896
1985 2 6.5976636312
1985 3 6.580009533
1985 4 6.5624850187
1985 5 6.5450994212
1985 6 6.5278619767
1985 7 6.5107818178
1985 8 6.4938679675
1985 9 6.4771293325
1985 10 6.4605746971
1985 11 6.4442127161
1985 12 6.4280519083
1986 1 6.4121006502
1986 2 6.3963671685
1986 3 6.3808595339
1986 4 6.3655856537
1986 5 6.3505532652
1986 6 6.3357699285
1986 7 6.3212430194
1986 8 6.3069797221
1986 9 6.2929870224
1986 10 6.2792716999
1986 11 6.2658403208
1986 12 6.2526992307
1987 1 6.2398545468
1987 2 6.2273121507
1987 3 6.2150776803
1987 4 6.2031565224
1987 5 6.1915538053
1987 6 6.1802743901
1987 7 6.1693228638
1987 8 6.1587035306
1987 9 6.1484204043
1987 10 6.1384772003
1987 11 6.1288773271
1987 12 6.1196238783
1988 1 6.1107196245
1988 2 6.1021670047
1988 3 6.0939681179
1988 4 6.0861247151
1988 5 6.0786381901
1988 6 6.0715095715
1988 7 6.0647395137
1988 8 6.0583282883
1988 9 6.0522757753
1988 10 6.0465814543
1988 11 6.0412443957
1988 12 6.0362632514
1989 1 6.031636246
1989 2 6.0273611678
1989 3 6.0234353593
1989 4 6.0198557083
1989 5 6.0166186384
1989 6 6.0137200998
1989 7 6.0111555597
1989 8 6.0089199929
1989 9 6.0070078725
1989 10 6.0054131596
1989 11 6.0041292943
1989 12 6.0031491859
1990 1 6.0024652025
1990 2 6.0020691619
1990 3 6.001952321
1990 4 6.0021053662
1990 5 6.0025184033
1990 6 6.0031809472
1990 7 6.0040819118
1990 8 6.0052095997
1990 9 6.006551692
1990 10 6.0080952377
1990 11 6.0098266435
1990 12 6.0117316631
1991 1 6.0137953865
1991 2 6.0160022297
1991 3 6.0183359239
1991 4 6.0207795042
1991 5 6.0233152997
1991 6 6.0259249218
1991 7 6.0285892535
1991 8 6.0312884384
1991 9 6.0340018698
1991 10 6.036708179
1991 11 6.0393852245
1991 12 6.0420100807
1992 1 6.0445590263
1992 2 6.0470075332
1992 3 6.0493302546
1992 4 6.0515010138
1992 5 6.0534927927
1992 6 6.0552777194
1992 7 6.0568270574
1992 8 6.0581111932
1992 9 6.0590996244
1992 10 6.0597609482
1992 11 6.060062849
1992 12 6.0599720864
1993 1 6.0594544834
1993 2 6.0584749137
1993 3 6.0569972898
1993 4 6.0549845505
1993 5 6.0523986486
1993 6 6.0492005386
1993 7 6.0453501636
1993 8 6.0408064436
1993 9 6.0355272621
1993 10 6.0294694537
1993 11 6.0225887915
1993 12 6.0148399737
1994 1 6.0061766115
1994 2 5.9965512153
1994 3 5.9859151824
1994 4 5.9742187832
1994 5 5.9614111487
1994 6 5.947440257
1994 7 5.9322529196
1994 8 5.915794769
1994 9 5.8980102442
1994 10 5.8788425782
1994 11 5.8582337835
1994 12 5.8361246393
1995 1 5.8124546776
1995 2 5.7871621689
1995 3 5.7601841094
1995 4 5.7314562062
1995 5 5.7009128638
1995 6 5.6684871703
1995 7 5.6341108828
1995 8 5.5977144137
1995 9 5.5592268164
1995 10 5.5185757709
1995 11 5.4756875696
1995 12 5.4304871031
1996 1 5.3828978453
1996 2 5.3328418394
1996 3 5.2802396828
1996 4 5.2250105128
1996 5 5.167071992
1996 6 5.1063402932
1996 7 5.0427300847
1996 8 4.9761545154
1996 9 4.9065251999
1996 10 4.8337522033
1996 11 4.7577440264
1996 12 4.6784075902
1997 1 4.5956482209
1997 2 4.5093696345
1997 3 4.4194739216
1997 4 4.3258615318
1997 5 4.2284312583
1997 6 4.1270802223
1997 7 4.0217038577
1997 8 3.9121958949
1997 9 3.7984483453
1997 10 3.6803514858
1997 11 3.5577938425
1997 12 3.4306621749
